#      k [h/Mpc]           P_cdm          P_vcdm           P_bar          P_vbar         P_total        P_vtotal
      0.00277397      0.00569667      0.00564014      0.00566819      0.00563324      0.00568423      0.00563906
       0.0028872      0.00590416      0.00584507      0.00587219      0.00583732       0.0058895      0.00584385
      0.00300504      0.00611785      0.00605604      0.00608197      0.00604733      0.00610072      0.00605467
       0.0031277       0.0063378      0.00627307      0.00629751      0.00626329      0.00631789      0.00627153
      0.00325536        0.006564      0.00649614      0.00651874      0.00648517        0.006541      0.00649441
      0.00338823      0.00679642       0.0067252      0.00674559      0.00671294      0.00677001      0.00672327
      0.00352653      0.00703503      0.00696021      0.00697796       0.0069465      0.00700485      0.00695805
      0.00367047      0.00727976      0.00720107      0.00721572      0.00718572      0.00724542      0.00719865
      0.00382028      0.00753051      0.00744765      0.00745869      0.00743044      0.00749157      0.00744494
      0.00397621      0.00778715      0.00769977      0.00770664      0.00768049      0.00774318      0.00769674
       0.0041385      0.00804951      0.00795721      0.00795927      0.00793564      0.00800007      0.00795382
      0.00430742       0.0083174      0.00821972      0.00821627      0.00819562      0.00826201      0.00821593
      0.00448324      0.00859057      0.00848702      0.00847725       0.0084601      0.00852871      0.00848278
      0.00466622      0.00886875      0.00875878      0.00874182      0.00872872      0.00879987      0.00875404
      0.00485668      0.00915159      0.00903461      0.00900949      0.00900106      0.00907513      0.00902933
      0.00505491      0.00943871      0.00931408      0.00927977      0.00927666      0.00935412      0.00930819
      0.00526124      0.00972972      0.00959666      0.00955202      0.00955493      0.00963641      0.00959009
      0.00547598       0.0100241      0.00988172      0.00982554      0.00983522      0.00992153      0.00987439
      0.00569949       0.0103215       0.0101687       0.0100996       0.0101169        0.010209       0.0101605
      0.00593212       0.0106212       0.0104571       0.0103734       0.0103995       0.0104984        0.010448
      0.00617425       0.0109227       0.0107464       0.0106462       0.0106824        0.010789       0.0107363
      0.00642626       0.0112254       0.0110356        0.010917       0.0109646       0.0110803       0.0110244
      0.00668856       0.0115285       0.0113239       0.0111848        0.011245       0.0113715       0.0113115
      0.00696156       0.0118313       0.0116102       0.0114485       0.0115226       0.0116617       0.0115964
       0.0072457       0.0121331       0.0118938        0.011707       0.0117967       0.0119503       0.0118785
      0.00754145        0.012433       0.0121738       0.0119591       0.0120664       0.0122366       0.0121569
      0.00784926       0.0127304       0.0124495       0.0122038       0.0123308       0.0125198       0.0124308
      0.00816964       0.0130242       0.0127201       0.0124396       0.0125889        0.012799       0.0126994
      0.00850309       0.0133139       0.0129845       0.0126653       0.0128398       0.0130733       0.0129617
      0.00885016       0.0135984       0.0132421       0.0128794       0.0130826       0.0133418       0.0132169
      0.00921139       0.0138768       0.0134919       0.0130807       0.0133161       0.0136035       0.0134642
      0.00958736       0.0141482       0.0137331       0.0132676       0.0135395       0.0138575       0.0137025
      0.00997868       0.0144118       0.0139648       0.0134386       0.0137519       0.0141025       0.0139312
